user,user_id,degree_centrality_values,eigenvector_centrality_values,page_rank_centrality_values
eleonard,1084949174,0.0009818989071038251,0.0013453365699462843,0.00020763462281751598
jamessimon,1050463558,0.00025614754098360657,0.0004444512376480468,5.511397975531355e-05
brianna65,1002148361,0.00025614754098360657,0.0004992669423668196,5.5239488364277536e-05
yschmidt,1000741574,0.0005122950819672131,0.00090869746318651,0.00010927638713373974
justindavis,1019020642,0.00034153005464480874,0.0013164145018131129,7.108376441789206e-05
kevin71,1044910984,0.00010672814207650273,0.0004666118127049536,2.5196188096370633e-05
amanda97,1032965820,0.00021345628415300546,5.472596696520787e-05,4.824905842527823e-05
rosariohannah,1045532631,6.403688524590164e-05,4.2183432584888055e-05,1.6907705363176375e-05
kcharles,1062570867,8.538251366120219e-05,0.00043713161346270777,2.068458302752817e-05
heatherparker,1093616433,4.269125683060109e-05,4.344824067358533e-05,1.1231409029498e-05
ryanrobertson,1046494658,8.538251366120219e-05,6.427902296809804e-05,1.970019255413119e-05
fosterdorothy,1071753837,0.00034153005464480874,0.01760780436386043,7.175963780062457e-05
daniellegreen,1005890294,0.00019211065573770491,6.460579843592408e-05,4.300052504480536e-05
jenniferrobinson,1088712592,8.538251366120219e-05,6.355226632107535e-05,1.9975708963289528e-05
christian90,1087450175,0.000234801912568306,4.431614190520563e-05,5.355252972245855e-05
odavis,1059839736,0.00012807377049180329,5.4696056794742594e-05,3.010490397278656e-05
wcarpenter,1069823047,6.403688524590164e-05,3.3473968022937216e-05,1.5917700988794504e-05
malik39,1026118838,6.403688524590164e-05,5.362415456603933e-05,1.5948761374761337e-05
emilykim,1073919686,0.00010672814207650273,6.451662437646492e-05,2.4608589998813764e-05
nlee,1060428001,6.403688524590164e-05,3.32482446227816e-05,1.595300362152222e-05
vmarks,1050607585,4.269125683060109e-05,4.1533943624455345e-05,1.1611084654935774e-05
michelehanson,1001691761,6.403688524590164e-05,0.016663384031531416,1.5054204582928557e-05
jonathan11,1070498956,8.538251366120219e-05,5.4650191541849175e-05,2.029511871803157e-05
smithmegan,1071870955,8.538251366120219e-05,4.308973946509556e-05,2.048083741527631e-05
hillkayla,1035595201,6.403688524590164e-05,5.315997236763487e-05,1.599750886242969e-05
ryansparks,1051971605,0.00010672814207650273,3.279266907449417e-05,2.6911477109423557e-05
eramirez,1015062812,6.403688524590164e-05,3.318448785246986e-05,1.6820615660469798e-05
sabrina90,1034483550,4.269125683060109e-05,3.173505219239617e-05,1.1777821244989066e-05
davidthomas,1029385317,6.403688524590164e-05,3.298836003337603e-05,1.638170729941146e-05
zfuller,1038596028,6.403688524590164e-05,4.217828852330371e-05,1.6675859613624587e-05
mariajohnson,1051729820,6.403688524590164e-05,4.1776346426392104e-05,1.6825757656829524e-05
qvincent,1004123432,4.269125683060109e-05,3.197387607440271e-05,1.165963647118314e-05
amy32,1012378934,6.403688524590164e-05,3.2495224008973026e-05,1.6626481853003766e-05
richardrivas,1079898450,4.269125683060109e-05,3.246870706394918e-05,1.1612770619428162e-05
pperez,1063959866,4.269125683060109e-05,3.297588610075877e-05,1.1355716419181699e-05
donnamyers,1054238235,4.269125683060109e-05,3.321089735677054e-05,1.1217633070999416e-05
gregoryjackson,1082653249,0.00010672814207650273,0.01668193980488186,2.465981751730731e-05
ronaldburns,1061759881,4.269125683060109e-05,3.337482069188066e-05,1.1217342746247353e-05
jlee,1072398557,6.403688524590164e-05,4.372209342364137e-05,1.6152704910655164e-05
april57,1045545909,6.403688524590164e-05,3.299689953620795e-05,1.6450942680716676e-05
justinsmith,1040044735,4.269125683060109e-05,3.320880563141295e-05,1.142870534380302e-05
johnsonkevin,1051921689,4.269125683060109e-05,4.1757665005221185e-05,1.1577359567536572e-05
garciapatricia,1068393016,4.269125683060109e-05,3.320880563141295e-05,1.142870534380302e-05
christopher26,1039859493,4.269125683060109e-05,0.000447355989521595,1.1222479676434293e-05
bcannon,1014561778,4.269125683060109e-05,3.1756331965913904e-05,1.1936107601380092e-05
christopherjones,1030635339,4.269125683060109e-05,3.1757413527637264e-05,1.1942311188875558e-05
susan55,1006065364,6.403688524590164e-05,5.3221192436857625e-05,1.524172625674125e-05
zbishop,1016676496,6.403688524590164e-05,1.1809429094015002e-05,1.6013445485718943e-05
garrettrodney,1007172640,0.00014941939890710383,7.154426014083007e-05,3.4042060532543506e-05
stewartdalton,1058107871,4.269125683060109e-05,3.075017120569252e-05,1.1300944752681394e-05
jerrylynch,1026240394,6.403688524590164e-05,3.190707662525924e-05,1.6485996182838526e-05
chasemullins,1048513307,8.538251366120219e-05,3.2400977445139694e-05,2.0681451839061684e-05
nathanbrown,1078326898,0.000234801912568306,0.017123759960102975,5.2516947706994346e-05
kyle75,1074771837,6.403688524590164e-05,3.1026832356243043e-05,1.6509641024942834e-05
qwallace,1000373575,4.269125683060109e-05,1.1513907998460586e-05,1.1616509276920133e-05
jeremy29,1044442132,6.403688524590164e-05,0.0004279136816750659,1.657629393077098e-05
dwayne97,1006398548,8.538251366120219e-05,4.4302156205783806e-05,2.043434808368981e-05
erin35,1054723108,0.00014941939890710383,2.3227493711915642e-05,3.584047784999455e-05
xroach,1034569772,8.538251366120219e-05,0.00041673038457502073,2.2143568407748645e-05
arusso,1014333778,6.403688524590164e-05,0.017048834741237348,1.5030321277966415e-05
charlesgardner,1057217762,4.269125683060109e-05,1.2275452100152176e-05,1.2031559728034057e-05
dorothy72,1073773347,4.269125683060109e-05,0.0004056226429267715,1.1456383819034181e-05
john81,1077572316,6.403688524590164e-05,5.243829335606432e-05,1.586177194680162e-05
donna85,1063635847,8.538251366120219e-05,2.297728165925325e-05,2.117802626574298e-05
mary80,1083119109,0.00017076502732240437,0.0008611743991582332,3.616448035871079e-05
forbeschristine,1029403491,0.00014941939890710383,3.404369933108516e-05,3.557352169457928e-05
john88,1048185426,0.00010672814207650273,0.016682141205736557,2.4720666596208073e-05
ygonzales,1094510316,6.403688524590164e-05,3.222709515001318e-05,1.6425719576852862e-05
rickysimmons,1073044045,6.403688524590164e-05,2.244450544093435e-05,1.6788432043488594e-05
heathtammie,1002435873,4.269125683060109e-05,5.240796519276061e-05,1.078758668791103e-05
douglasmoore,1057817191,4.269125683060109e-05,2.2668893531913347e-05,1.1488920385108592e-05
oparker,1036936480,4.269125683060109e-05,2.1433682570746956e-05,1.199484124421677e-05
rickeyblevins,1029430034,8.538251366120219e-05,2.174313529654963e-05,2.205454307688661e-05
fullerelizabeth,1060716653,4.269125683060109e-05,2.1655877256485433e-05,1.1546599015236882e-05
burchjesse,1095293823,4.269125683060109e-05,2.1691050857846986e-05,1.160448056207206e-05
campbelljoseph,1011583897,4.269125683060109e-05,3.205038387615149e-05,1.1200642448158816e-05
angelacarter,1073508752,0.00014941939890710383,0.0004276504397681134,3.5011091071006694e-05
antoniosmith,1003972963,8.538251366120219e-05,0.016681975090978168,1.9555158510690584e-05
uluna,1026470516,6.403688524590164e-05,0.01705667414013525,1.4562237405538454e-05
youngmorgan,1035678040,0.00010672814207650273,3.316384717213995e-05,2.574712304596509e-05
kennethjohnson,1011061835,4.269125683060109e-05,0.00041525835152963776,1.1400698096805382e-05
joanguerra,1088130850,4.269125683060109e-05,1.1723880734689426e-05,1.1826152071719383e-05
vatkins,1074529510,8.538251366120219e-05,2.5742820297470797e-06,2.195608597037163e-05
lfreeman,1083694167,0.00014941939890710383,2.1142528994180723e-06,3.628509477636129e-05
grant00,1085392303,4.269125683060109e-05,0.00040555853342367864,1.124525063867387e-05
bsmith,1072099258,4.269125683060109e-05,2.337649227489139e-06,1.1568888215103801e-05
nathan69,1038269410,6.403688524590164e-05,1.160441691741756e-05,1.6707579968349524e-05
kaylee85,1052089370,4.269125683060109e-05,1.2525137794955873e-06,1.2708728042063064e-05
dixonmark,1000151650,4.269125683060109e-05,1.1062553294255395e-05,1.2108197096560711e-05
murphymax,1078442583,4.269125683060109e-05,1.287565243635037e-06,1.2481018696068764e-05
nguyengabriela,1045639877,0.00012807377049180329,0.0004183750273803515,3.0039377381391217e-05
